year,percent 1st gen,percent 2nd gen,cocitation_dois,n_total_1st_doi,n_total_2nd_doi,n_cocitation_doi
2008,0.0,0.0,[],1,2,0
2009,27.27,42.86,"['10.1007/978-3-642-01206-8_5', '10.1109/dasc.2009.91', '10.1109/cse.2009.451', '10.1103/physreve.80.016105', '10.1103/physreve.80.056117', '10.1088/1742-5468/2009/07/p07042']",22,14,6
2010,50.0,25.42,"['10.1109/iske.2010.5680851', '10.1109/socialcom.2010.91', '10.1007/978-3-642-17616-6_10', '10.1007/978-3-642-17316-5_42', '10.1103/physreve.81.046114', '10.1109/asonam.2010.77', '10.1140/epjb/e2010-00279-x', '10.1140/epjb/e2010-00261-8', '10.1103/physreve.82.026102', '10.1103/physreve.81.046102', '10.1016/j.physa.2009.12.019', '10.1007/978-3-642-13193-6_37', '10.1088/1742-5468/2010/04/p04024', '10.1109/socialcom.2010.51', '10.4000/brussels.804', '10.1103/physreve.81.046106', '10.1109/asonam.2010.70', '10.1088/1742-5468/2010/06/p06003', '10.1088/1367-2630/12/10/103018', '10.1109/asonam.2010.32', '10.1109/cyberc.2010.57', '10.1088/1742-5468/2010/12/p12030', '10.4000/brussels.806', '10.1109/wi-iat.2010.48', '10.1103/physreve.81.066118', '10.4000/brussels.799', '10.1109/icece.2010.345', '10.1088/1742-5468/2010/08/p08012', '10.1103/physreve.82.046112', '10.1088/1742-5468/2010/12/p12037']",60,118,30
2011,48.39,18.29,"['10.1145/1963190.1970376', '10.1007/978-3-642-25501-4_19', '10.1016/j.physa.2010.10.040', '10.1007/978-3-642-21073-0_32', '10.1109/asonam.2011.104', '10.1002/sam.10133', '10.1007/s11192-011-0439-1', '10.1007/978-3-642-23935-9_37', '10.1371/journal.pone.0019608', '10.1109/icdcsw.2011.17', '10.1007/978-3-642-22194-1_53', '10.1371/journal.pone.0018209', '10.1103/physreve.84.026110', '10.1088/1751-8113/44/49/495102', '10.1109/cason.2011.6085937', '10.1111/j.1467-8659.2011.02037.x', '10.1007/978-3-642-25501-4_21', '10.1103/physreve.83.016115', '10.1371/journal.pone.0027028', '10.1109/nsw.2011.6004645', '10.1103/physreve.83.056125', '10.1073/pnas.1018962108', '10.1109/asonam.2011.36', '10.1103/physreve.83.056105', '10.1007/978-3-642-22027-2_23', '10.1103/physreve.83.066114', '10.1007/s10618-011-0224-z', '10.2139/ssrn.1719768', '10.1109/asonam.2011.53', '10.1109/jproc.2011.2169033', '10.1007/s11390-011-0177-0', '10.1103/physreve.83.036103', '10.1007/978-3-642-23822-2_27', '10.1103/physreve.83.046104', '10.1109/infcom.2011.5935045', '10.1109/passat/socialcom.2011.16', '10.1146/annurev-clinpsy-040510-143934', '10.1140/epjb/e2011-10979-2', '10.1051/ro/2012001', '10.1109/ictai.2011.140', '10.1063/1.3655371', '10.1109/fskd.2011.6019714', '10.1080/13614568.2011.598952', '10.1103/physreve.84.036109', '10.1109/wi-iat.2011.50', '10.1371/journal.pcbi.1001139', '10.1371/journal.pone.0023829', '10.1038/nphys2162', '10.1073/pnas.1018985108', '10.1016/j.neuroimage.2011.03.069', '10.1140/epje/i2011-11105-9', '10.1007/978-1-4614-0857-4_11', '10.2139/ssrn.1470768', '10.1093/cercor/bhr269', '10.1007/978-1-4614-0754-6_6', '10.1007/s13278-011-0043-7', '10.1088/1478-3975/8/5/055010', '10.1103/physreve.84.016114', '10.1016/j.sbspro.2011.07.054', '10.1016/j.physa.2011.03.036']",124,328,60
2012,61.76,13.5,"['10.1109/itsc.2012.6338617', '10.1109/mic.2012.40', '10.1002/widm.1048', '10.1016/j.jocs.2012.03.006', '10.1103/physreve.86.036104', '10.1007/978-3-642-31464-3_29', '10.1109/icsm.2012.6405325', '10.1109/pacificvis.2012.6183571', '10.1371/journal.pone.0032210', '10.1007/s12043-012-0359-5', '10.4000/belgeo.6074', '10.1109/cdc.2012.6426020', '10.1109/itsc.2012.6338845', '10.1103/physreve.85.026119', '10.1007/978-3-642-34620-0_15', '10.1002/asi.22748', '10.1007/s11390-012-1236-x', '10.1007/978-1-4471-4555-4_4', '10.1103/physreve.86.041306', '10.1103/physreve.86.066106', '10.1109/cec.2012.6256434', '10.1109/iv.2012.14', '10.1007/978-1-4614-4139-7_6', '10.1016/j.neuroimage.2012.01.107', '10.1007/978-3-642-29047-3_6', '10.1080/14786435.2011.616547', '10.1073/pnas.1216402109', '10.1007/s10115-012-0555-0', '10.1103/physreve.85.056702', '10.1109/secon.2012.6275828', '10.1155/2012/186353', '10.1109/saso.2012.28', '10.1016/j.comnet.2011.10.024', '10.1103/physreve.85.066118', '10.1371/journal.pone.0029358', '10.1007/s13278-012-0058-8', '10.1109/asonam.2012.123', '10.1016/j.physa.2011.12.019', '10.1088/1742-5468/2012/10/p10015', '10.1371/journal.pone.0033721', '10.1007/978-3-642-35380-2_21', '10.1109/asonam.2012.202', '10.1002/asi.22644', '10.1209/0295-5075/99/38006', '10.1140/epjb/e2012-30301-2', '10.1142/s0219525912500361', '10.1088/1748-9326/7/3/034007', '10.2139/ssrn.2176744', '10.1371/journal.pone.0037507', '10.1016/j.neuron.2012.03.038', '10.1007/s11390-012-1227-y', '10.1371/journal.pone.0033255', '10.1109/ijcnn.2012.6252726', '10.1007/978-3-642-29920-9_28', '10.1007/s10955-012-0640-5', '10.1007/s13278-012-0081-9', '10.1145/2330601.2330618', '10.1007/978-1-4471-4048-1_4', '10.1109/iccme.2012.6275597', '10.1088/1742-5468/2012/09/p09008', '10.1007/978-3-642-35386-4_9', '10.1016/j.comcom.2012.05.003', '10.1109/cdc.2012.6426712', '10.1007/978-3-642-31205-2_7', '10.1007/978-3-642-33636-2_6', '10.1016/j.physa.2011.06.030', '10.1016/j.physa.2011.12.021', '10.1103/physreve.85.066119', '10.1073/pnas.1111133109', '10.1103/physreve.85.016109', '10.1371/journal.pone.0040709', '10.1016/j.physa.2012.07.030', '10.1007/s11280-012-0174-4', '10.1109/asonam.2012.215', '10.1103/physreve.86.016111', '10.1093/cercor/bhs126', '10.1177/0003122412463574', '10.1007/s13278-012-0089-1', '10.3182/20120912-3-bg-2031.00001', '10.1016/j.physa.2011.12.025', '10.1007/s11192-011-0600-x', '10.1007/978-3-642-32964-7_33', '10.1007/s13278-012-0060-1', '10.1038/mp.2011.177', '10.1016/j.physa.2012.05.006', '10.1109/wi-iat.2012.97', '10.1177/0022002712453708', '10.1016/j.physa.2012.05.015', '10.1109/la-web.2012.19', '10.1109/tevc.2011.2161090', '10.1109/cgc.2012.25', '10.1007/978-3-642-30045-5_5', '10.1007/s11192-012-0789-3', '10.1109/sitis.2012.109', '10.1109/sc.2012.52', '10.1007/978-3-642-30850-5_25', '10.1073/pnas.1201890109', '10.1007/978-3-642-34123-6_1', '10.1109/icprime.2012.6208338', '10.1016/j.patcog.2011.06.018', '10.2139/ssrn.2002684', '10.1109/ipdpsw.2012.203', '10.1007/978-3-642-35236-2_61', '10.1007/s11192-012-0923-2', '10.1109/icaci.2012.6463189']",170,778,105
2013,58.71,13.48,"['10.1089/brain.2013.0175', '10.2139/ssrn.2285487', '10.1098/rsif.2012.0819', '10.1145/2492517.2500236', '10.1007/978-1-4614-6729-8_7', '10.1109/cse.2013.88', '10.1109/icassp.2013.6639165', '10.1007/978-3-642-30287-9_9', '10.1109/bibe.2013.6701654', '10.1002/widm.1105', '10.1088/1742-5468/2013/09/p09013', '10.2139/ssrn.2198974', '10.1007/978-3-642-31821-4_2', '10.1007/978-3-642-35795-4_38', '10.1527/tjsai.28.67', '10.1016/j.datak.2012.09.002', '10.1007/978-3-642-30287-9_11', '10.1371/journal.pone.0058070', '10.1371/journal.pone.0081972', '10.1007/978-3-642-41687-3_21', '10.1103/physreve.88.060801', '10.1080/17439760.2013.777766', '10.1007/978-3-319-00395-5_78', '10.1140/epjb/e2013-40672-3', '10.31887/dcns.2013.15.3/osporns', '10.1145/2492517.2492569', '10.1007/978-3-642-38466-0_33', '10.1002/asi.22968', '10.1145/2487575.2487666', '10.1145/2492517.2492644', '10.1007/s10618-013-0335-9', '10.1007/978-1-4614-7485-2_3', '10.1080/18756891.2013.823004', '10.1016/j.eswa.2013.01.064', '10.1371/journal.pone.0076162', '10.1007/978-3-642-39071-5_14', '10.1109/icacci.2013.6637477', '10.1109/hicss.2013.179', '10.1016/j.ins.2012.08.001', '10.1016/j.knosys.2013.08.003', '10.1007/978-3-319-00372-6_7', '10.1137/130917387', '10.1007/s00429-013-0634-3', '10.1007/s10796-013-9453-6', '10.1007/978-3-642-37210-0_40', '10.1016/j.physa.2013.03.001', '10.1145/2492517.2492633', '10.1007/978-3-642-39479-9_8', '10.1109/iv.2013.39', '10.1109/ictai.2013.26', '10.1186/1752-0509-7-s5-s6', '10.1007/s10878-013-9686-9', '10.1109/cgc.2013.91', '10.1109/icsm.2013.50', '10.1007/978-3-642-36763-2_43', '10.1109/bigdata.2013.6691599', '10.1007/978-3-642-41154-0_12', '10.1103/physreve.87.032803', '10.1007/s11192-013-1129-y', '10.1021/ja311077u', '10.1103/physreve.87.012812', '10.1007/s11390-013-1378-5', '10.1007/978-3-319-03260-3_16', '10.2139/ssrn.2267251', '10.1109/icpp.2013.27', '10.1109/sitis.2013.80', '10.1140/epjds15', '10.1007/978-3-642-37450-0_14', '10.1007/s00114-013-1090-x', '10.1007/978-3-319-00110-4_2', '10.1007/978-3-642-31821-4_1', '10.1007/978-3-642-30287-9_10', '10.1145/2487788.2487987', '10.1109/bigdata.2013.6691715', '10.1007/s13278-013-0135-7', '10.1007/978-3-642-36844-8_14', '10.1007/978-3-642-37487-6_6', '10.1109/icdcs.2013.34', '10.1016/j.tranpol.2012.08.006', '10.1209/0295-5075/101/48001', '10.1007/978-3-319-00395-5_23', '10.1109/socialcom.2013.18', '10.1145/2492517.2492568', '10.1109/icmla.2013.40', '10.1109/sitis.2013.81', '10.1080/18756891.2013.819179', '10.1007/978-3-642-34560-9_8', '10.1063/1.4790830', '10.1145/2492517.2500238', '10.1109/cyberc.2013.37', '10.1007/978-3-642-37210-0_45', '10.1145/2487575.2488194', '10.1109/cec.2013.6557944', '10.1371/journal.pone.0053943', '10.1002/hbm.22324', '10.1016/j.physa.2013.08.028', '10.1007/978-1-4614-6729-8_6', '10.1007/978-1-4614-6729-8_11', '10.1002/1944-2866.poi327', '10.1109/society.2013.14', '10.1140/epjb/e2013-40645-6', '10.1089/brain.2012.0121', '10.1089/brain.2013.0151', '10.1140/epjb/e2012-30697-5', '10.1007/978-3-642-31821-4_4', '10.1016/j.knosys.2013.01.004', '10.1016/j.cub.2013.03.015', '10.1007/978-94-007-6359-3_2', '10.1016/j.physa.2013.01.039', '10.1007/978-3-319-00035-0_7', '10.1016/j.physa.2012.11.040', '10.1371/journal.pone.0059204', '10.1016/j.physa.2013.01.031', '10.1140/epjb/e2013-40829-0', '10.1016/j.knosys.2012.05.021', '10.1145/2487575.2487696', '10.1016/j.physa.2013.07.021', '10.1145/2492517.2492651', '10.1140/epjb/e2013-40253-6', '10.1007/978-3-319-03780-6_13', '10.12688/f1000research.2-130.v2', '10.1007/s13278-013-0144-6', '10.1016/j.physa.2013.01.058', '10.1002/asi.22946', '10.1109/tpds.2012.229', '10.1007/978-3-642-37781-5_9', '10.1109/acpr.2013.135', '10.1093/comnet/cnt012', '10.1109/iccabs.2013.6629214', '10.1145/2492517.2492518', '10.1007/s10115-013-0644-8', '10.1109/idaacs.2013.6662690', '10.1016/j.neuroimage.2012.12.073', '10.1142/s0219525913500033', '10.1088/0253-6102/60/2/19', '10.1016/j.comcom.2012.10.004', '10.1007/s10878-013-9665-1', '10.1088/1751-8113/46/45/455102', '10.1016/j.neulet.2013.10.023', '10.1007/s11571-013-9251-3', '10.1016/j.physa.2012.12.013', '10.1097/aln.0b013e3182a8ec8c', '10.1103/physrevx.3.021016', '10.3390/e15051567', '10.1109/mobilware.2013.13', '10.1109/cadgraphics.2013.45', '10.1017/nws.2013.19', '10.1111/exsy.12028', '10.1080/18756891.2013.773175', '10.1007/978-1-4614-6729-8_8', '10.1007/978-1-4614-6729-8_10', '10.1007/978-3-642-32524-3_6', '10.1007/978-3-642-31821-4_3', '10.1109/nsw.2013.6609210', '10.1016/j.physa.2013.07.066', '10.1145/2444016.2444021', '10.1109/commantel.2013.6482378', '10.1109/icdmw.2013.78', '10.1088/1674-1056/22/10/108903', '10.1016/j.comnet.2013.04.002', '10.1007/s10618-013-0331-0', '10.1016/j.cor.2013.03.002', '10.1109/jsac.2013.130602', '10.1007/s00779-013-0656-0', '10.1002/asi.22953', '10.1109/cason.2013.6622601', '10.1109/infcom.2013.6566734', '10.1016/j.physa.2013.05.012', '10.1007/978-94-007-6359-3_5', '10.1140/epjb/e2013-40006-7', '10.1016/j.nicl.2012.11.006', '10.1089/brain.2012.0122', '10.1007/978-3-642-40047-6_77', '10.1145/2492517.2492600', '10.1007/978-94-007-7262-5_10', '10.1214/13-ss103', '10.1007/978-3-642-41591-3_5', '10.1007/978-3-319-00395-5_99', '10.1016/j.neuroimage.2012.12.031', '10.1371/journal.pcbi.1003171', '10.1109/smc.2013.789', '10.1103/physreve.88.022810']",310,1350,182
2014,56.75,11.75,"['10.1007/978-3-319-06608-0_33', '10.1016/j.physa.2013.08.053', '10.1109/waina.2014.108', '10.1007/978-3-319-05912-9_6', '10.1007/978-3-319-05885-6_2', '10.1080/13658816.2014.906040', '10.1142/s0219525914500180', '10.1145/2629438', '10.1103/physreve.90.062805', '10.1007/s11590-014-0818-7', '10.1145/2623330.2623707', '10.1142/s0219525914500210', '10.1109/tcyb.2014.2305974', '10.1109/fskd.2014.6980932', '10.1007/s13278-014-0169-5', '10.5194/esd-5-1-2014', '10.1007/978-3-319-10377-8_1', '10.1109/sceecs.2014.6804502', '10.1016/j.ins.2013.09.048', '10.3389/fnhum.2014.01022', '10.1103/physreve.89.032809', '10.3389/fnhum.2014.00430', '10.1109/tcss.2014.2307458', '10.1007/978-3-319-08783-2_57', '10.1007/s11192-014-1482-5', '10.1109/icc.2014.6883963', '10.1186/s13073-014-0052-z', '10.1142/s0217979214502087', '10.1016/j.jnca.2013.08.008', '10.1109/tsp.2014.2345355', '10.1016/j.physa.2014.03.061', '10.1371/journal.pcbi.1003712', '10.1103/physreve.90.032804', '10.1109/jproc.2014.2364018', '10.1007/s13278-014-0160-1', '10.1016/j.ecolmodel.2013.12.014', '10.1109/infocom.2014.6848114', '10.1093/reseval/rvu014', '10.1093/schbul/sbu059', '10.1016/j.physa.2014.03.059', '10.1016/j.jneumeth.2014.08.011', '10.1016/j.dam.2012.03.030', '10.1016/j.joi.2013.12.007', '10.1016/j.physa.2014.08.051', '10.1088/1742-5468/2014/11/p11035', '10.1007/978-3-319-13186-3_49', '10.1155/2014/502809', '10.1371/journal.pone.0086028', '10.1016/j.neuroimage.2013.12.008', '10.1109/vnc.2014.7013311', '10.1088/1367-2630/16/6/063007', '10.1109/cbd.2014.52', '10.1109/bracis.2014.79', '10.1007/978-94-017-8832-8_48', '10.1007/s00429-014-0795-8', '10.1109/asonam.2014.6921603', '10.4018/978-1-4666-4695-7.ch007', '10.1007/s10878-014-9719-z', '10.1007/s10844-014-0315-6', '10.1371/journal.pone.0097584', '10.1007/978-3-319-05401-8_15', '10.1007/s13278-014-0178-4', '10.1109/bdcloud.2014.83', '10.1109/candar.2014.20', '10.1007/978-3-319-12188-8_7', '10.2139/ssrn.2541908', '10.1155/2014/402345', '10.1016/j.comcom.2013.12.003', '10.1088/1367-2630/16/12/125006', '10.1109/asonam.2014.6921636', '10.1155/2014/627581', '10.1098/rsta.2014.0065', '10.1103/physreve.89.012804', '10.1109/tsmc.2013.2256890', '10.1109/hpec.2014.7040973', '10.1109/enic.2014.15', '10.1007/978-3-319-07632-4_19', '10.1103/physreve.90.012806', '10.1109/wi-iat.2014.10', '10.1109/bracis.2014.77', '10.1109/bigdata.2014.7004373', '10.1007/978-3-319-08816-7_57', '10.1109/wd.2014.7020819', '10.1145/2631775.2631808', '10.1109/tetc.2014.2380391', '10.2139/ssrn.2395204', '10.1142/s0219525914500234', '10.1016/j.ecocom.2014.06.003', '10.1002/9781118858080.ch7', '10.1109/sitis.2014.20', '10.1209/0295-5075/108/68001', '10.1145/2629511', '10.1007/s13278-014-0179-3', '10.1371/journal.pone.0102799', '10.1109/acc.2014.6858618', '10.1109/wi-iat.2014.129', '10.1007/978-3-319-13560-1_90', '10.3389/fninf.2014.00066', '10.1007/978-3-319-05696-8_3', '10.1137/130943455', '10.1007/978-3-319-10470-6_88', '10.1371/journal.pone.0112821', '10.1155/2014/406485', '10.1002/wics.1319', '10.1088/1674-1056/23/9/098902', '10.1007/s13278-014-0208-2', '10.1103/physreve.89.012814', '10.1109/glocom.2014.7036888', '10.1016/j.brainres.2014.05.037', '10.1007/978-3-319-11469-9_4', '10.1371/journal.pone.0099966', '10.1109/hipc.2014.7116708', '10.3389/fnhum.2014.00228', '10.1007/978-1-4614-6170-8_350', '10.1016/j.jcss.2013.03.012', '10.1073/pnas.1409770111', '10.1007/978-3-7091-1340-0_9', '10.7554/elife.02730', '10.1016/j.physa.2014.08.025', '10.1088/1742-5468/2014/03/p03013', '10.1155/2014/682015', '10.1109/bigdata.2014.7004318', '10.1016/j.physa.2013.12.003', '10.1093/comnet/cnu045', '10.1109/bigdata.2014.7004290', '10.4304/jnw.9.9.2360-2364', '10.4304/jsw.9.9.2409-2416', '10.1186/1756-0381-7-1', '10.1109/icassp.2014.6853762', '10.1016/j.dam.2013.09.017', '10.1186/1471-2105-15-220', '10.1109/tbme.2013.2296778', '10.1016/j.joi.2014.07.006', '10.1098/rspb.2013.2907', '10.1109/asonam.2014.6921612', '10.1007/978-3-319-05813-9_20', '10.1109/ipdpsw.2014.155', '10.3389/fevo.2014.00072', '10.1016/j.proeng.2014.02.167', '10.1007/s11192-014-1286-7', '10.1145/2649387.2649446', '10.1016/j.neuron.2014.05.014', '10.1039/c4mb00088a', '10.1002/asi.23127', '10.1007/s13278-014-0176-6', '10.1214/14-aoas760', '10.1371/journal.pone.0094414', '10.1007/978-3-319-09758-9_2', '10.1007/978-3-319-05401-8_13', '10.1007/978-3-319-13734-6_27', '10.1007/978-3-319-06391-1_2', '10.1109/ucc.2014.146', '10.1080/15427951.2014.950875', '10.1007/978-3-319-06793-3_3', '10.1109/cse.2014.65', '10.1371/journal.pcbi.1003491', '10.1177/1094428114562629', '10.4018/ijvcsn.2014010103', '10.1109/spac.2014.6982726', '10.1209/0295-5075/107/28002', '10.1016/j.neuroimage.2014.05.083', '10.1007/s11192-014-1447-8', '10.1103/physreve.89.023104', '10.4000/aad.1836', '10.1103/physreve.90.012811', '10.1111/pirs.12149', '10.1109/cidm.2014.7008660', '10.1098/rsif.2014.0873', '10.1007/s40595-014-0025-6', '10.1371/journal.pone.0104655', '10.1109/infocom.2014.6848134', '10.1103/physreve.90.022813', '10.1155/2014/359868', '10.1145/2567948.2577307', '10.1103/physreve.90.062813', '10.1109/cnsm.2014.7014142', '10.1109/istel.2014.7000750', '10.1109/eco-friendly.2014.82', '10.1109/glocom.2014.7037253', '10.1109/dsaa.2014.7058114', '10.1162/jocn_a_00533', '10.1080/17439760.2014.920409', '10.1016/j.labeco.2014.05.003', '10.1109/asonam.2014.6921629', '10.1007/s13278-014-0180-x', '10.1109/icstcc.2014.6982515', '10.1007/978-3-319-08326-1_1', '10.1007/978-3-319-09153-2_11', '10.1007/978-3-319-10377-8_14', '10.1016/j.physa.2014.06.055', '10.1209/0295-5075/106/38001', '10.1145/2576768.2598277', '10.1016/j.physa.2014.08.050', '10.1103/physreve.90.052810', '10.1109/ifipnetworking.2014.6857128', '10.1137/120881683', '10.1016/j.neuroimage.2014.03.041', '10.1109/cidm.2014.7008675', '10.1162/neco_a_00673', '10.1371/journal.pone.0109507', '10.1109/rcis.2014.6861033', '10.1016/j.neuroimage.2013.08.017', '10.1140/epjds31', '10.1109/icocs.2014.7060969', '10.1109/asonam.2014.6921691', '10.4304/jnw.9.9.2289-2298', '10.1016/j.jfbs.2014.01.001', '10.1371/journal.pone.0086026', '10.1016/j.energy.2014.06.095', '10.1109/embc.2014.6944204', '10.1137/140967325', '10.1007/s00607-014-0401-1', '10.1371/journal.pone.0101357', '10.1142/s0219525914500015', '10.1371/journal.pone.0091431', '10.1109/dsaa.2014.7058050', '10.1371/journal.pone.0107884', '10.1038/npp.2014.169', '10.1016/j.asoc.2014.02.003', '10.1016/j.ecolmodel.2014.02.019', '10.1007/978-3-319-11749-2_5', '10.1007/978-3-319-10085-2_1', '10.1016/j.eiar.2014.03.003', '10.1016/j.joi.2014.01.011', '10.1007/978-3-319-11469-9_13', '10.1007/978-3-319-06608-0_36', '10.1007/978-3-319-11683-9_12', '10.1109/tnse.2015.2391998', '10.1021/ct500361w', '10.1007/s10115-014-0774-7', '10.1016/j.ecolmodel.2013.10.002', '10.1371/journal.pone.0094429', '10.1109/itsc.2014.6958130', '10.1371/journal.pone.0111007', '10.1002/asi.23243', '10.1186/s40649-014-0001-4', '10.1007/s11192-014-1347-y', '10.1098/rsif.2014.0940', '10.3389/fnagi.2014.00167', '10.1007/978-3-319-07350-7_65', '10.1007/978-1-4614-6170-8_224', '10.1007/978-3-319-02999-3_1', '10.1016/j.physa.2014.03.027', '10.1007/978-3-319-05813-9_40', '10.1155/2014/430848', '10.1061/(asce)hy.1943-7900.0000916', '10.3389/fnhum.2014.00954', '10.1109/icdmw.2014.26', '10.1371/journal.pcbi.1003887', '10.1007/978-3-319-09284-3_14', '10.1109/sitis.2014.93', '10.1145/2527231', '10.1109/ccnc.2014.6940507', '10.1155/2014/580647', '10.1007/s13278-014-0224-2', '10.1371/journal.pone.0103637', '10.1088/1751-8113/47/16/165101', '10.1007/978-3-319-11119-3_11', '10.1007/978-3-319-08239-4_5', '10.1080/13658816.2014.964247', '10.1890/es14-00201.1', '10.1145/2593702.2593715', '10.1007/978-3-319-12637-1_36', '10.2139/ssrn.2524412', '10.1103/physrevx.4.011047']",467,2256,265
