user_id,citing
5001,10.1177/1354816620944264
5002,10.1007/s11066-020-09144-6
5003,10.1007/s11067-021-09528-7
5004,10.1007/s11067-021-09547-4
5005,10.1103/physrevx.11.011012
5006,10.1007/s11579-020-00273-y
5007,10.1111/j.2047-3095.2013.01242.x
5008,10.1111/jbi.12015
5009,10.1111/jcc4.12150
5010,10.1111/jeu.12113
5011,10.1073/pnas.1115960108
5012,10.1111/coin.12545
5013,10.1016/j.cie.2022.108494
5014,10.5897/jmcs2018.0630
5015,10.1109/saner48275.2020.9054852
5016,10.1016/j.inffus.2022.08.031
5017,10.1073/pnas.2023301118
5018,10.1109/icicas48597.2019.00192
5019,10.1158/2159-8290.cd-20-0057
5020,10.1007/s10796-021-10164-2
5021,10.1007/s41109-022-00454-2
5022,10.1007/s12626-021-00084-7
5023,10.1145/3502871.3502879
5024,10.1101/2021.12.16.466282
5025,10.1007/978-3-658-36591-2_8
5026,10.1109/icassp40776.2020.9054044
5027,10.3389/fpsyt.2021.745468
5028,10.1109/smartiot.2019.00053
5029,10.1016/j.knosys.2022.108542
5030,10.3390/math10060970
5031,10.1029/2021wr030914
5032,10.3390/su14063643
5033,10.1038/s41587-021-01186-x
5034,10.1145/3487056
5035,10.1145/3491101.3519863
5036,10.1145/3490099.3511156
5037,10.17645/mac.v10i2.5168
5038,10.1109/eecs.2018.00073
5039,10.1109/access.2019.2956149
5040,10.1109/access.2019.2957191
5041,10.1016/j.ijme.2022.100642
5042,10.1108/jbim-10-2021-0503
5043,10.1186/s13059-022-02649-3
5044,10.1162/netn_a_00225
5045,10.1162/netn_a_00223
5046,10.1007/s41109-022-00452-4
5047,10.1101/2022.04.27.489655
5048,10.1145/3532102
5049,10.1101/2022.04.26.489055
5050,10.1016/j.ipm.2022.102944
5051,10.1109/access.2018.2882798
5052,10.1209/0295-5075/ac4624
5053,10.1101/2022.08.17.504240
5054,10.1038/s41523-022-00425-x
5055,10.1016/j.ins.2022.04.009
5056,10.1126/science.abf3041
5057,10.1101/2021.12.15.472842
5058,10.1109/cbmi.2018.8516531
5059,10.1109/hpec.2018.8547534
5060,10.1109/hpec.2018.8547528
5061,10.1109/isncc.2018.8531055
5062,10.1007/s41109-022-00460-4
5063,10.1109/access.2019.2953470
5064,10.1109/tfuzz.2019.2953602
5065,10.1109/tia.2019.2954272
5066,10.1109/iccke.2018.8566329
5067,10.1109/tcss.2018.2879494
5068,10.1109/tcomm.2018.2886337
5069,10.1016/j.isci.2022.104225
5070,10.1016/j.buildenv.2022.109020
5071,10.4000/mots.29600
5072,10.1101/2022.04.05.22273478
5073,10.1111/csp2.12676
5074,10.1109/bigcom.2019.00038
5075,10.1109/tcyb.2017.2720180
5076,10.1152/ajpgi.00244.2021
5077,10.1109/access.2021.3134076
5078,10.1109/embc46164.2021.9630781
5079,10.1109/embc46164.2021.9629533
5080,10.1109/icicis52592.2021.9694235
5081,10.1109/access.2021.3083971
5082,10.1109/cscwd49262.2021.9437744
5083,10.15252/msb.20145487
5084,10.15252/msb.20188746
5085,10.1527/tjsai.28.67
5086,10.1527/tjsai.29.234
5087,10.1527/tjsai.30.84
5088,10.1527/tjsai.30.96
5089,10.1527/tjsai.wii-c
5090,10.1109/pacificvis52677.2021.00034
5091,10.1109/mits.2019.2919525
5092,10.1109/jsyst.2020.2969023
5093,10.1109/icmse.2018.8744869
5094,10.1109/tcbb.2019.2919307
5095,10.1534/g3.116.030239
5096,10.1534/g3.118.200401
5097,10.1002/asi.20987
5098,10.1101/2022.04.01.486696
5099,10.1002/asi.22644
5100,10.1002/asi.22748
5101,10.1002/asi.22946
5102,10.1002/asi.22953
5103,10.1002/asi.22968
5104,10.1002/asi.23089
5105,10.1017/dsi.2019.306
5106,10.1017/dsj.2017.26
5107,10.1017/dsj.2017.27
5108,10.1017/ice.2015.130
5109,10.1017/nws.2012.3
5110,10.1017/nws.2013.19
5111,10.1017/nws.2015.20
5112,10.1017/nws.2015.23
5113,10.1017/nws.2015.9
5114,10.1017/nws.2016.20
5115,10.1017/nws.2017.30
5116,10.1017/nws.2018.27
5117,10.1017/nws.2018.6
5118,10.1017/nws.2019.20
5119,10.1007/978-81-322-2734-2_9
5120,10.7554/elife.02730
5121,10.7554/elife.03318
5122,10.7554/elife.26000
5123,10.7554/elife.27041
5124,10.1007/978-81-322-3628-3_9
5125,10.7554/elife.33562
5126,10.7554/elife.34354
5127,10.7554/elife.38473
5128,10.7554/elife.43803
5129,10.7554/elife.44320
5130,10.15723/jcps.49.2.201808.135
5131,10.7566/jpsj.85.114802
5132,10.1371/journal.pone.0040709
5133,10.1016/j.ins.2019.01.003
5134,10.1016/j.ins.2019.01.040
5135,10.1016/j.tra.2017.04.011
5136,10.1016/j.ins.2020.01.027
5137,10.1016/j.ins.2020.03.090
5138,10.1016/j.ins.2020.11.010
5139,10.1016/j.ins.2015.04.011
5140,10.1016/j.ins.2017.09.063
5141,10.1016/j.ins.2018.01.008
5142,10.1016/j.ins.2016.11.028
5143,10.1016/j.ins.2018.06.015
5144,10.1016/j.ins.2017.01.026
5145,10.1016/j.ins.2017.09.022
5146,10.1016/j.ins.2018.01.012
5147,10.1016/j.ins.2018.05.025
5148,10.1016/j.ins.2019.10.064
5149,10.1016/j.ins.2020.03.082
5150,10.1016/j.ins.2019.09.022
5151,10.1016/j.ins.2019.10.076
5152,10.1016/j.ins.2013.09.048
5153,10.1016/j.ins.2019.01.028
5154,10.1016/j.ins.2019.09.024
5155,10.1016/j.ins.2019.12.085
5156,10.1016/j.ins.2020.03.004
5157,10.1016/j.ins.2020.10.011
5158,10.1016/j.ins.2020.10.057
5159,10.1016/j.ins.2012.08.001
5160,10.1016/j.ipm.2019.102133
5161,10.1016/j.ipm.2019.102191
5162,10.1016/j.ipm.2020.102223
5163,10.1016/j.ipm.2020.102385
5164,10.1016/j.ins.2017.09.021
5165,10.1016/j.ins.2017.11.055
5166,10.1016/j.is.2017.10.005
5167,10.1016/j.intmar.2017.06.003
5168,10.1016/j.clinph.2015.02.060
5169,10.1007/978-3-319-15168-7_48
5170,10.1007/978-3-319-15168-7_6
5171,10.1016/j.ipm.2019.102172
5172,10.1016/j.ipm.2020.102353
5173,10.1016/j.ipm.2019.102056
5174,10.1016/j.isci.2020.101626
5175,10.1016/j.ipm.2015.06.003
5176,10.1016/j.ipm.2016.10.001
5177,10.1016/j.isci.2020.101354
5178,10.1007/978-1-4471-4048-1_4
5179,10.1007/978-1-4471-4054-2_12
5180,10.1016/j.isci.2020.101126
5181,10.1016/j.ipm.2018.03.005
5182,10.1016/j.is.2011.03.009
5183,10.1007/978-3-319-16112-9_18
5184,10.1007/978-3-319-16112-9_6
5185,10.1007/978-3-319-16112-9_8
5186,10.1007/978-3-319-16112-9_9
5187,10.1080/14683849.2016.1138287
5188,10.1016/j.tranpol.2012.08.006
5189,10.1007/978-3-319-16268-3_43
5190,10.1007/978-3-319-16268-3_59
5191,10.1016/j.tranpol.2014.01.005
5192,10.1007/978-1-4471-4555-4_4
5193,10.1016/j.jaac.2018.01.014
5194,10.1007/978-3-319-16354-3_53
5195,10.1016/j.jaa.2020.101236
5196,10.3982/te1524
5197,10.1371/journal.pone.0053943
5198,10.1016/j.jadohealth.2019.03.002
5199,10.1016/j.coisb.2017.12.008
5200,10.3989/chdj.2018.014
5201,10.3989/chdj.2018.015
5202,10.3989/chdj.2019.009
5203,10.1371/journal.pone.0058070
5204,10.1016/j.trc.2015.03.020
5205,10.3989/redc.2019.1.1594
5206,10.1371/journal.pone.0059204
5207,10.1016/j.trc.2018.02.015
5208,10.1016/j.trc.2018.10.011
5209,10.1016/j.trc.2018.12.013
5210,10.1016/j.trc.2018.12.014
5211,10.1016/j.trc.2020.102640
5212,10.1016/j.trc.2020.102951
5213,10.1016/j.jairtraman.2018.08.004
5214,10.1016/j.trd.2015.07.007
5215,10.1007/978-3-319-16468-7_11
5216,10.4000/aad.1836
5217,10.1016/j.jal.2016.11.004
5218,10.1016/j.trd.2020.102619
5219,10.4000/belgeo.20507
5220,10.4000/belgeo.6074
