user_id,citing
5501,10.1103/physreve.99.042301
5502,10.1103/physreve.99.062308
5503,10.1016/j.jhydrol.2019.124065
5504,10.1007/978-3-319-24211-8_6
5505,10.1371/journal.pone.0111007
5506,10.1016/j.jimonfin.2020.102280
5507,10.1016/j.ejor.2015.04.034
5508,10.1371/journal.pone.0112821
5509,10.1080/10548408.2014.918924
5510,10.1016/j.jksuci.2015.07.001
5511,10.1016/j.jksuci.2020.10.014
5512,10.1371/journal.pone.0115092
5513,10.1016/j.jmarsys.2018.03.002
5514,10.1371/journal.pone.0116441
5515,10.1371/journal.pone.0116966
5516,10.1371/journal.pone.0118410
5517,10.1371/journal.pone.0119171
5518,10.1007/978-3-319-24258-3_19
5519,10.1007/978-3-319-24258-3_1
5520,10.1007/978-3-319-24318-4_18
5521,10.1007/978-3-319-24318-4_20
5522,10.4028/www.scientific.net/amr.798-799.663
5523,10.1007/978-3-319-24399-3_4
5524,10.1007/978-3-319-24465-5_16
5525,10.1007/978-3-319-24966-7_11
5526,10.1007/978-3-319-25255-1_13
5527,10.1016/j.asoc.2015.10.023
5528,10.1016/j.asoc.2017.07.035
5529,10.1016/j.jnca.2013.08.008
5530,10.1016/j.jnca.2019.01.030
5531,10.1371/journal.pone.0122174
5532,10.1016/j.jneumeth.2016.11.003
5533,10.1016/j.asoc.2017.07.034
5534,10.1016/j.arth.2020.01.056
5535,10.1016/j.asoc.2020.106096
5536,10.1016/j.asoc.2020.106118
5537,10.1016/j.artmed.2020.101928
5538,10.1016/j.jnca.2016.05.008
5539,10.1371/journal.pone.0124160
5540,10.1016/j.asoc.2016.11.025
5541,10.1016/j.asoc.2018.10.004
5542,10.1016/j.asoc.2019.01.045
5543,10.1016/j.jneumeth.2019.108320
5544,10.1016/j.asoc.2014.02.003
5545,10.1007/978-3-658-19222-8_15
5546,10.1371/journal.pone.0125585
5547,10.1016/j.asoc.2017.08.050
5548,10.1016/j.asoc.2019.106010
5549,10.1177/0002716214563921
5550,10.1016/j.jneuroling.2020.100913
5551,10.1371/journal.pone.0126845
5552,10.1016/j.jnca.2018.02.011
5553,10.1177/0002764217717565
5554,10.1016/j.jneumeth.2014.08.011
5555,10.1103/physrevlett.117.078301
5556,10.1177/0003122412463574
5557,10.1007/978-3-319-25660-3_13
5558,10.1007/978-3-319-25751-8_79
5559,10.1016/j.energy.2016.04.001
5560,10.1103/physrevlett.118.168301
5561,10.1080/17421772.2019.1569762
5562,10.1016/j.jocs.2020.101130
5563,10.1016/j.energy.2019.115998
5564,10.1007/978-3-319-26181-2_33
5565,10.1016/j.energy.2020.116989
5566,10.1007/978-3-319-26287-1_14
5567,10.1016/j.visinf.2020.04.002
5568,10.1016/j.visinf.2020.09.005
5569,10.1016/j.joi.2011.11.003
5570,10.1016/j.joi.2016.07.007
5571,10.1016/j.joi.2016.07.009
5572,10.1016/j.joi.2014.01.008
5573,10.1016/j.joi.2014.10.002
5574,10.1016/j.joi.2015.06.004
5575,10.1103/physrevlett.121.057801
5576,10.1007/978-3-319-26690-9_12
5577,10.1016/j.autcon.2016.11.001
5578,10.1103/physrevlett.121.098301
5579,10.1016/j.jocs.2011.05.010
5580,10.1007/978-3-319-26925-2_3
5581,10.1007/978-1-4614-0754-6_6
5582,10.1016/j.automatica.2016.11.043
5583,10.1007/978-1-4614-0857-4_11
5584,10.1007/978-3-319-26989-4_10
5585,10.1007/978-3-319-27000-5_4
5586,10.1080/10714421.2019.1599642
5587,10.1080/17439760.2013.777766
5588,10.1080/17439760.2014.920409
5589,10.1016/j.joi.2014.01.011
5590,10.1016/j.joca.2018.04.016
5591,10.1016/j.joi.2016.01.003
5592,10.1016/j.joi.2016.12.005
5593,10.1016/j.joi.2018.08.004
5594,10.1016/j.joi.2019.01.004
5595,10.1016/j.joi.2020.101105
5596,10.1080/17439884.2013.777077
5597,10.1080/17440572.2016.1227707
5598,10.1016/j.vlsi.2019.10.002
5599,10.1016/j.jocs.2012.03.006
5600,10.1016/j.jocs.2014.08.002
5601,10.1016/j.jocs.2017.07.002
5602,10.1371/journal.pone.0130708
5603,10.1016/j.jocs.2014.01.003
5604,10.1080/17445760.2012.668546
5605,10.1016/j.joi.2014.05.002
5606,10.1016/j.joi.2016.02.001
5607,10.1016/j.joi.2016.04.016
5608,10.1016/j.joi.2016.11.003
5609,10.1016/j.joi.2017.12.004
5610,10.1016/j.joi.2020.101018
5611,10.1016/j.joi.2020.101099
5612,10.1016/j.joi.2020.101122
5613,10.1016/j.joi.2009.11.005
5614,10.1016/j.joi.2013.12.007
5615,10.1016/j.joi.2014.07.006
5616,10.1016/j.joi.2016.03.008
5617,10.1016/j.joi.2016.07.008
5618,10.1016/j.joi.2017.03.003
5619,10.1016/j.joi.2020.101079
5620,10.1371/journal.pone.0133005
5621,10.1371/journal.pone.0133310
5622,10.1016/j.jpdc.2014.09.012
5623,10.1016/j.jpdc.2016.06.006
5624,10.1371/journal.pone.0133679
5625,10.1016/j.bbi.2019.09.011
5626,10.1371/journal.pone.0134860
5627,10.4040/jkan.2017.47.6.806
5628,10.1080/10807039.2014.947866
5629,10.1080/10807039.2014.955383
5630,10.1007/s00332-017-9436-8
5631,10.1080/10810730.2016.1209598
5632,10.1371/journal.pone.0137248
5633,10.1371/journal.pone.0137502
5634,10.1007/978-3-319-27308-2_18
5635,10.1007/978-3-319-27433-1_7
5636,10.1016/j.jpeds.2019.06.030
5637,10.1007/978-3-319-27974-9_14
5638,10.1007/978-3-319-28028-8_22
5639,10.1016/j.jprot.2020.104063
5640,10.1016/j.eswa.2015.10.037
5641,10.1016/j.eswa.2017.08.012
5642,10.1016/j.eswa.2019.113020
5643,10.1016/j.eswa.2020.114207
5644,10.1016/j.eswa.2020.114221
5645,10.1371/journal.pone.0141186
5646,10.1371/journal.pone.0141263
5647,10.1016/j.jprocont.2020.04.003
5648,10.1016/j.watres.2019.115326
5649,10.1371/journal.pone.0141890
5650,10.1016/j.jqsrt.2020.107068
5651,10.1371/journal.pone.0142824
5652,10.1371/journal.pone.0143781
5653,10.1016/j.jprocont.2020.08.003
5654,10.1371/journal.pone.0145283
5655,10.1371/journal.pone.0146220
