user_id,citing
2001,10.1101/2021.09.14.21263182
2002,10.1007/978-3-030-05345-1_33
2003,10.1109/icc.2016.7511603
2004,10.1109/icc.2016.7511604
2005,10.1007/978-3-030-05366-6_20
2006,10.1038/s41467-019-10500-w
2007,10.1007/978-3-030-05411-3_1
2008,10.1007/978-3-030-05411-3_14
2009,10.1007/978-3-030-05411-3_15
2010,10.1007/978-3-030-05411-3_16
2011,10.1007/978-3-030-05411-3_17
2012,10.1007/978-3-030-05411-3_19
2013,10.1007/978-3-030-05411-3_21
2014,10.1007/978-3-030-05411-3_22
2015,10.1007/978-3-030-05411-3_24
2016,10.1007/978-3-030-05411-3_26
2017,10.1007/978-3-030-05411-3_5
2018,10.1007/978-3-030-05411-3_60
2019,10.1007/978-3-030-05411-3_7
2020,10.1007/978-3-030-05414-4_18
2021,10.1007/978-3-030-05414-4_24
2022,10.1007/978-3-030-05414-4_26
2023,10.1007/978-3-030-05414-4_34
2024,10.2139/ssrn.2610125
2025,10.2139/ssrn.2613393
2026,10.1145/3478905.3478923
2027,10.1145/3478905.3478916
2028,10.1101/461954
2029,10.1101/463265
2030,10.1007/s10961-021-09887-w
2031,10.1101/464271
2032,10.1111/coin.12273
2033,10.1038/s41467-019-11257-y
2034,10.1101/468025
2035,10.1101/641159
2036,10.1038/s41467-019-11380-w
2037,10.1038/s41467-019-11401-8
2038,10.1038/s41467-019-11431-2
2039,10.1007/978-3-030-05819-7_6
2040,10.1101/473751
2041,10.1038/s41467-019-11667-y
2042,10.2139/ssrn.2647251
2043,10.1016/j.tig.2015.10.003
2044,10.1101/481838
2045,10.1038/s41467-019-12171-z
2046,10.1101/483826
2047,10.1101/484063
2048,10.1017/bap.2019.33
2049,10.1038/s41467-019-12394-0
2050,10.1145/2487788.2487880
2051,10.1145/2487788.2487922
2052,10.1145/2487788.2487987
2053,10.1016/j.tim.2016.11.008
2054,10.1145/2523429.2523478
2055,10.1101/493395
2056,10.1145/2527231
2057,10.1145/2556609
2058,10.1007/s10878-021-00788-0
2059,10.1145/2567948.2567952
2060,10.1145/2567948.2577307
2061,10.1101/499897
2062,10.1145/2567948.2578807
2063,10.1145/2567948.2580073
2064,10.1093/isq/sqx001
2065,10.1038/s41524-017-0035-x
2066,10.2139/ssrn.2670740
2067,10.1101/505891
2068,10.1101/507236
2069,10.1145/2629511
2070,10.1101/510420
2071,10.1117/12.2057150
