user_doi,doi
3501,10.3233/jifs-190724
3502,10.1177/2329496517704859
3503,10.1007/s11831-020-09421-5
3504,10.1145/3106368
3505,10.1145/3106426.3106477
3506,10.1002/aic.17205
3507,10.1108/itp-10-2020-0682
3508,10.1177/0954405414558730
3509,10.1007/978-3-030-44584-3_17
3510,10.1007/978-3-030-44584-3_21
3511,10.24108/preprints-3112256
3512,10.1186/s12859-021-04020-y
3513,10.1111/1365-2435.13657
3514,10.1007/978-3-030-45688-7_19
3515,10.1007/978-3-030-45697-9_53
3516,10.1088/1742-6596/604/1/012003
3517,10.1007/978-3-319-70658-0_28-1
3518,10.1007/s11606-019-04978-9
3519,10.3233/web-170362
3520,10.3233/web-170365
3521,10.1038/s43016-020-0093-y
3522,10.1016/j.anbehav.2021.02.008
3523,10.1111/mms.12716
3524,10.1111/geb.13310
3525,10.1007/s11625-007-0027-8
3526,10.1007/s11625-014-0244-x
3527,10.1007/s11625-017-0470-0
3528,10.1007/s11625-017-0487-4
3529,10.1007/s41109-020-00289-9
3530,10.1007/978-3-319-71486-8_12
3531,10.1080/15528014.2021.1884452
3532,10.1007/978-3-319-02399-1_3
3533,10.5604/01.3001.0014.0544
3534,10.1137/19m1270446
3535,10.20537/2076-7633-2010-2-2-121-141
3536,10.1007/s40010-020-00716-7
3537,10.1007/s12539-017-0279-7
3538,10.1007/978-3-319-02993-1_1
3539,10.1007/978-3-319-02993-1_5
3540,10.1007/978-3-319-02993-1_8
3541,10.1007/978-3-319-72150-7_17
3542,10.1007/978-3-319-72150-7_19
3543,10.1007/978-3-319-72150-7_20
3544,10.1007/978-3-319-72150-7_4
3545,10.1007/978-3-319-72150-7_54
3546,10.1007/s10676-011-9273-7
3547,10.5194/esd-5-1-2014
3548,10.1007/978-3-319-03473-7_11
3549,10.1007/978-3-319-03518-5_1
3550,10.1007/978-3-319-72344-0_16
3551,10.1007/978-3-319-03578-9_1
3552,10.1007/978-3-319-72413-3_4
3553,10.1007/s00339-020-03612-4
3554,10.1063/1.5144139
3555,10.18632/oncotarget.7120
3556,10.20965/jaciii.2007.p0772
3557,10.20965/jaciii.2010.p0408
3558,10.20965/jaciii.2011.p1073
3559,10.20965/jaciii.2014.p0896
3560,10.20965/jaciii.2016.p0705
3561,10.20965/jrm.2007.p0459
3562,10.1088/1742-5468/ab8c36
3563,10.1007/s11634-017-0299-5
3564,10.1007/978-3-319-73198-8_16
3565,10.1007/978-3-319-73198-8_4
3566,10.1007/978-3-319-73235-0_13
3567,10.1145/3384473
3568,10.1145/3385415
3569,10.1145/3387902.3392634
3570,10.5194/hess-19-3301-2015
3571,10.1007/978-3-319-73521-4_1
3572,10.1002/ece3.6237
3573,10.1007/978-3-319-73618-1_43
3574,10.1111/eufm.12286
3575,10.1371/journal.pbio.3000336
3576,10.1007/s12555-015-0170-4
3577,10.1371/journal.pcbi.1000190
3578,10.1093/biomet/asaa059
3579,10.1371/journal.pcbi.1000355
3580,10.1080/1369118x.2020.1720770
3581,10.1371/journal.pcbi.1000659
3582,10.1371/journal.pcbi.1000719
3583,10.1038/s41598-020-67970-y
3584,10.1371/journal.pcbi.1000817
