user_doi,doi
1873,10.1142/s0218213019500106
1874,10.1007/978-3-642-29023-7_21
1875,10.1007/978-3-642-29038-1_16
1876,10.1109/tpds.2007.70811
1877,10.1007/978-3-642-29253-8_60
1878,10.1109/tpds.2012.57
1879,10.1016/j.scs.2019.101436
1880,10.1109/tpds.2013.2297115
1881,10.1109/tpds.2014.2308200
1882,10.1109/tpds.2014.2320515
1883,10.1109/tpds.2014.2370031
1884,10.1109/tpds.2014.2374607
1885,10.1109/tpds.2015.2414941
1886,10.1109/tpds.2016.2563428
1887,10.1109/tpds.2017.2697381
1888,10.1287/orsc.1100.0592
1889,10.1109/jproc.2011.2169033
1890,10.1287/orsc.1120.0744
1891,10.1109/jproc.2012.2191529
1892,10.1007/978-1-4419-6515-8_12
1893,10.1007/978-1-4419-6515-8_4
1894,10.1186/1471-2105-9-s9-s19
1895,10.1109/jproc.2014.2364018
1896,10.1007/978-0-387-78745-9_7
1897,10.1007/978-3-642-29920-9_28
1898,10.2139/ssrn.1286311
1899,10.1109/enic.2014.11
1900,10.1109/enic.2014.26
1901,10.1109/enic.2015.25
1902,10.1109/enic.2015.26
1903,10.1109/enic.2016.017
1904,10.1007/978-3-642-30045-5_5
1905,10.1007/978-3-642-30117-9_2
1906,10.1101/024042
1907,10.1101/041426
1908,10.1007/s41870-021-00790-z
1909,10.1007/978-1-4419-7142-5_16
1910,10.1007/978-1-4419-7142-5_6
1911,10.1007/978-3-030-00214-5_3
1912,10.1007/978-3-030-00229-9_6
1913,10.1142/s021833901150032x
1914,10.1007/978-3-642-30217-6_38
1915,10.1007/978-3-642-30287-9_10
1916,10.1007/978-3-642-30287-9_11
1917,10.1007/978-3-642-30287-9_9
1918,10.1101/050708
1919,10.1142/s0218348x16500389
1920,10.1101/054569
1921,10.1142/s0218348x19500348
1922,10.1109/escience.2008.30
1923,10.1109/jsac.2006.884025
1924,10.1109/jsac.2008.080602
1925,10.1109/esciencew.2011.31
1926,10.1002/pmic.200500895
1927,10.2139/ssrn.1408784
1928,10.3390/computers9010011
1929,10.1109/jsac.2016.2525478
1930,10.1007/978-3-642-30850-5_25
1931,10.1007/978-3-030-00828-4_20
1932,10.1007/978-3-030-00828-4_27
1933,10.1007/s10641-019-00930-2
1934,10.1109/etcs.2009.200
1935,10.1109/etcs.2009.201
1936,10.1109/etcs.2009.421
1937,10.1109/etcs.2009.720
1938,10.1109/etcs.2010.222
1939,10.1007/978-1-4419-7997-1_74
1940,10.1109/jsen.2011.2160393
1941,10.1109/jsen.2013.2265936
1942,10.1007/978-3-030-01159-8_2
1943,10.1101/089011
1944,10.1002/pmic.201100321
1945,10.1109/euc.2011.37
1946,10.1007/978-3-642-31464-3_29
1947,10.1101/097261
1948,10.1007/978-3-642-31603-6_25
1949,10.1007/978-3-642-31612-8_31
1950,10.1093/gerona/glu048
1951,10.1007/978-3-030-01449-0_13
1952,10.2139/ssrn.1545245
1953,10.1101/105197
1954,10.1101/112540
1955,10.1007/978-3-642-31821-4_1
1956,10.1007/978-3-642-31821-4_2
1957,10.1007/978-3-642-31821-4_3
1958,10.1007/978-3-642-31821-4_4
1959,10.1007/978-3-642-31821-4_5
1960,10.1007/978-3-642-31830-6_12
1961,10.1007/978-3-642-31830-6_18
1962,10.1007/978-3-642-31900-6_36
1963,10.1101/119099
1964,10.1109/trustcom.2011.248
1965,10.1142/s0219477507003854
1966,10.1109/trustcom.2011.31
1967,10.1109/trustcom.2012.76
1968,10.1109/trustcom.2016.0246
1969,10.1109/trustcom.2016.0254
1970,10.1109/fas-w.2016.19
1971,10.1111/1475-6773.12616
1972,10.1109/fcst.2015.75
1973,10.1109/tse.2017.2679752
1974,10.1109/fgcn.2008.190
1975,10.1109/ficloudw.2017.104
1976,10.1142/s0219525905000439
1977,10.1115/1.3615677
1978,10.1142/s0219525910002840
1979,10.1101/140384
1980,10.1142/s0219525911003219
1981,10.1142/s0219525911500238
1982,10.1142/s0219525912500361
1983,10.1142/s0219525912500683
1984,10.1142/s0219525912500841
1985,10.1142/s0219525913500033
1986,10.1142/s0219525914500180
1987,10.1142/s0219525914500210
1988,10.1142/s0219525914500234
1989,10.1142/s0219525917500023
1990,10.1142/s0219525919500048
1991,10.1101/142281
1992,10.1111/j.1083-6101.2011.01568.x
1993,10.1109/tsg.2017.2648779
1994,10.1109/tsipn.2016.2527923
1995,10.1007/978-3-642-32964-7_24
1996,10.1007/978-3-642-32964-7_33
1997,10.1109/tsmc.2013.2256890
1998,10.1101/2021.09.02.458706
1999,10.1142/s021962201450028x
2000,10.2139/ssrn.1719768
