user_doi,doi
1501,10.1093/comnet/cny007
1502,10.1093/comnet/cny009
1503,10.1093/comnet/cny030
1504,10.1109/cscwd.2017.8066670
1505,10.1093/comnet/cnz002
1506,10.1093/comnet/cnz009
1507,10.1142/s0129065712500189
1508,10.1093/comnet/cnz013
1509,10.1142/s0129065714300083
1510,10.1109/cse.2009.142
1511,10.1109/cse.2009.315
1512,10.1109/cse.2009.451
1513,10.1109/cse.2009.81
1514,10.1109/cse.2013.143
1515,10.1109/cse.2013.76
1516,10.1109/cse.2014.65
1517,10.1109/tkde.2007.190689
1518,10.1109/tkde.2008.141
1519,10.1109/tkde.2008.92
1520,10.1109/tkde.2010.142
1521,10.1109/tkde.2010.271
1522,10.1007/978-3-642-21073-0_32
1523,10.1109/tkde.2011.13
1524,10.1098/rsta.2016.0293
1525,10.1109/tkde.2011.38
1526,10.3233/mgs-190315
1527,10.1109/tkde.2012.100
1528,10.1109/tkde.2013.103
1529,10.1109/tkde.2013.131
1530,10.1109/tkde.2013.2297912
1531,10.1007/978-3-642-21111-9_48
1532,10.1109/tkde.2013.48
1533,10.1109/tkde.2014.2320728
1534,10.1109/csicsse.2015.7369236
1535,10.1109/tkde.2015.2453957
1536,10.1109/tkde.2015.2492559
1537,10.1109/tkde.2015.2496345
1538,10.1109/tkde.2015.2503753
1539,10.1109/tkde.2016.2554119
1540,10.1109/tkde.2016.2563425
1541,10.1007/978-3-642-21219-2_48
1542,10.1109/tkde.2016.2598561
1543,10.1109/csit.2016.7549467
1544,10.1109/tkde.2016.2608821
1545,10.1109/tkde.2016.2632716
1546,10.1109/csitechnol.2017.8312155
1547,10.1109/tkde.2017.2657752
1548,10.1109/tkde.2017.2685385
1549,10.1007/978-3-642-21286-4_3
1550,10.1142/s0129183107010395
1551,10.1142/s0129183107011042
1552,10.1142/s0129183107011212
1553,10.1142/s0129183108013084
1554,10.1109/cso.2011.105
1555,10.1109/ispras.2017.00020
1556,10.1142/s012918311001583x
1557,10.1142/s012918311101604x
1558,10.1142/s0129183111016816
1559,10.1142/s0129183112500441
1560,10.1142/s0129183113500599
1561,10.1142/s0129183113500885
1562,10.1142/s0129183114400051
1563,10.1007/978-3-642-21524-7_22
1564,10.1142/s0129183115500254
1565,10.1142/s0129183115500436
1566,10.1142/s0129183115500965
1567,10.1142/s0129183116500728
1568,10.1109/csse.2008.1012
1569,10.1142/s0129183116500960
1570,10.1142/s0129183116501497
1571,10.1142/s0129183117500061
1572,10.1142/s0129183117500176
1573,10.1109/csse.2008.62
1574,10.1142/s012918311750084x
1575,10.1007/978-3-642-21619-0_23
1576,10.1142/s0129183118500110
1577,10.1142/s012918311850047x
1578,10.1142/s0129183118500602
1579,10.1109/csss.2012.209
1580,10.1142/s0129183118501127
1581,10.1142/s012918311850119x
1582,10.1142/s0129183119400035
1583,10.1142/s0129183119500219
1584,10.1142/s0129183119500499
1585,10.1142/s0129183119500542
1586,10.1142/s0129183119500797
1587,10.1142/s0129183119500955
1588,10.1109/isra.2012.6219321
1589,10.1142/s0129626412400038
1590,10.1007/978-3-642-21765-4_2
1591,10.3390/hydrology8030136
1592,10.1007/978-3-642-21931-3_49
1593,10.3390/app7050487
1594,10.1007/978-3-642-22027-2_23
1595,10.1109/cvpr.2009.5206526
1596,10.1007/978-1-84800-094-0_31
1597,10.1145/2187836.2187883
1598,10.1145/2187836.2187884
1599,10.1109/issre.2016.14
1600,10.1007/978-3-642-22194-1_53
1601,10.1007/978-3-642-22233-7_19
1602,10.1109/isssta.2008.114
1603,10.1007/978-3-642-22300-6_58
1604,10.1007/978-3-642-22309-9_2
1605,10.1109/istel.2014.7000750
1606,10.1007/978-3-642-22589-5_23
1607,10.1007/978-3-642-22606-9_5
1608,10.12693/aphyspola.117.703
1609,10.1109/tmc.2010.246
1610,10.1109/cyberc.2010.57
1611,10.1109/cyberc.2012.15
1612,10.1109/tmc.2011.249
1613,10.1109/cyberc.2013.37
1614,10.1109/cyberc.2015.41
1615,10.1109/tmc.2014.2370648
1616,10.1109/tmc.2015.2477809
1617,10.1109/tmc.2016.2613869
1618,10.1111/twec.12121
1619,10.3390/ijgi9030140
1620,10.1109/dasc-picom-datacom-cyberscitec.2016.46
1621,10.1007/978-3-642-22922-0_9
1622,10.1109/dasc.2009.73
1623,10.1109/dasc.2009.91
1624,10.1088/0253-6102/48/5/040
1625,10.1088/0253-6102/50/4/45
1626,10.1088/0253-6102/50/4/46
1627,10.1088/0253-6102/50/5/48
1628,10.1109/ita.2016.7888201
1629,10.1088/0253-6102/52/6/10
1630,10.1021/pr1010845
1631,10.1109/itap.2011.6006210
1632,10.1109/itc.2010.5608720
1633,10.1016/j.rssm.2015.05.001
1634,10.1061/(asce)cp.1943-5487.0000798
1635,10.1109/tmee.2011.6199554
1636,10.1109/dcabes.2015.18
1637,10.1109/dcabes.2017.23
1638,10.1109/dcabes.2017.57
1639,10.1007/978-3-642-23199-5_43
1640,10.1186/1752-0509-5-21
1641,10.1007/978-3-642-23241-1_11
1642,10.1088/0253-6102/60/2/19
1643,10.1007/978-3-642-23599-3_5
1644,10.1186/1748-7188-5-36
1645,10.1109/tmi.2016.2536559
1646,10.1109/dexa.2011.24
1647,10.1109/itoec.2017.8122542
1648,10.1007/978-3-642-23780-5_13
1649,10.1007/978-3-642-23808-6_32
1650,10.1007/978-3-642-23822-2_27
1651,10.1109/tmi.2018.2831261
1652,10.1007/978-3-642-23866-6_10
1653,10.1007/978-3-642-23887-1_79
1654,10.1109/itsc.2009.5309560
1655,10.1109/itsc.2012.6338617
1656,10.1109/dicta.2012.6411668
1657,10.1109/itsc.2012.6338712
1658,10.1007/978-1-4419-5689-7_4
1659,10.1109/itsc.2012.6338845
1660,10.1098/rstb.2014.0173
1661,10.3390/app9153199
1662,10.1109/itsc.2014.6957846
1663,10.1007/978-3-642-23982-3_33
1664,10.1186/1752-0509-4-102
1665,10.1088/0256-307x/23/8/099
1666,10.1007/978-3-642-24094-2_8
1667,10.1088/0256-307x/24/12/079
1668,10.1109/itsim.2008.4631935
1669,10.1088/0256-307x/24/4/073
1670,10.1109/tmm.2017.2692650
1671,10.1109/tmm.2017.2705915
1672,10.1186/1471-2105-11-378
1673,10.1098/rstb.2015.0280
1674,10.1186/1752-0509-4-74
1675,10.1109/itw.2010.5593378
1676,10.1088/0256-307x/25/4/091
1677,10.1007/978-3-642-24425-4_72
1678,10.1109/drpt.2015.7432297
1679,10.1007/978-3-642-24477-3_13
1680,10.1007/978-3-642-24477-3_27
1681,10.1109/ds-rt.2010.10
1682,10.1007/978-3-642-24553-4_58
1683,10.1109/dsaa.2014.7058095
1684,10.1109/dsaa.2014.7058114
1685,10.1109/dsaa.2014.7058116
1686,10.1109/dsaa.2017.71
1687,10.1109/dsc.2016.14
1688,10.1109/dsc.2016.74
1689,10.1109/dsc.2016.99
1690,10.1002/2016wr018944
1691,10.1109/iv.2007.10
1692,10.1109/iv.2008.10
1693,10.1007/978-3-642-24693-7_14
1694,10.1109/iv.2008.68
1695,10.1007/978-3-642-24704-0_17
1696,10.12720/jcm.10.7.503-511
1697,10.12720/jcm.11.5.484-490
1698,10.1109/iv.2013.23
1699,10.1186/1752-0509-3-112
1700,10.1088/0256-307x/27/12/128901
1701,10.1109/iv.2016.52
1702,10.12720/jiii.3.4.293-298
1703,10.1186/1471-2105-10-s12-s6
1704,10.1088/0256-307x/27/5/058901
1705,10.1109/dsdis.2015.76
1706,10.1088/0256-307x/28/6/068703
1707,10.1002/cpe.6590
1708,10.1016/j.sbspro.2011.07.057
1709,10.1016/j.sbspro.2011.07.055
1710,10.1061/(asce)hy.1943-7900.0000916
1711,10.1088/0256-307x/29/4/048902
1712,10.3390/w11051087
1713,10.1088/0256-307x/29/9/098901
1714,10.1007/978-3-642-24958-7_81
1715,10.1088/0256-307x/30/1/018901
1716,10.1016/j.sbspro.2013.08.170
1717,10.1109/iwaci.2010.5585212
1718,10.1007/978-1-84882-229-0_11
1719,10.1007/978-1-84882-229-0_4
1720,10.1038/s41598-021-98147-w
1721,10.1061/(asce)is.1943-555x.0000266
1722,10.1061/(asce)is.1943-555x.0000400
1723,10.1109/iwcfta.2009.81
1724,10.1142/s021797921250052x
1725,10.1142/s0217979212501718
1726,10.1109/iwcmc.2011.5982607
1727,10.1109/iwcmc.2012.6314174
1728,10.1109/iwcmc.2013.6583753
1729,10.1061/(asce)me.1943-5479.0000563
1730,10.1142/s0217979214500398
1731,10.1007/978-3-642-25501-4_17
1732,10.1007/978-3-642-25501-4_18
1733,10.1007/978-3-642-25501-4_19
1734,10.1007/978-3-642-25501-4_20
1735,10.1007/978-3-642-25501-4_21
1736,10.1007/978-3-642-25501-4_6
1737,10.3390/bdcc3030042
1738,10.1142/s0217979214501264
1739,10.1142/s0217979214501999
1740,10.1142/s0217979214502087
1741,10.1142/s0217979214502117
1742,10.1016/j.schres.2016.09.002
1743,10.1109/iwcmc.2017.7986475
1744,10.1016/j.schres.2017.12.017
1745,10.1142/s0217979215500782
1746,10.1007/978-3-642-25591-5_45
1747,10.1016/j.schres.2018.07.007
1748,10.1142/s0217979216500235
1749,10.1142/s0217979216500934
1750,10.1142/s0217979216501307
1751,10.1142/s0217979216501678
1752,10.1142/s0217979216502544
1753,10.1142/s0217979217500412
1754,10.1142/s0217979217501028
1755,10.1142/s0217979217501211
1756,10.1142/s0217979217501296
1757,10.1142/s0217979218500182
1758,10.1142/s0217979218500583
1759,10.1142/s0217979218500625
1760,10.1142/s0217979218501084
1761,10.1109/tnb.2014.2317755
1762,10.1142/s0217979218501667
1763,10.1109/tnb.2016.2523501
1764,10.1038/s41592-020-0748-5
1765,10.1109/tnb.2017.2656058
1766,10.1142/s0217979219500899
1767,10.3389/fbinf.2021.749008
1768,10.1109/jbhi.2014.2336251
1769,10.1109/jbhi.2014.2345873
1770,10.1109/tnet.2011.2112376
1771,10.1007/978-3-642-25853-4_2
1772,10.1007/978-3-642-25853-4_5
1773,10.1007/978-3-642-25856-5_11
1774,10.1007/978-3-642-25856-5_23
1775,10.1109/tnet.2017.2708090
1776,10.1109/tnet.2017.2762403
