user_doi,doi
2001,10.1111/1541-4337.12223
2002,10.1371/journal.pone.0223480
2003,10.1007/978-3-642-33350-7_21
2004,10.1007/978-3-642-33418-4_25
2005,10.1109/fskd.2008.518
2006,10.1002/poi3.218
2007,10.1109/fskd.2010.5569332
2008,10.1016/j.socnet.2004.11.009
2009,10.1016/j.socnet.2010.03.005
2010,10.1016/j.socnet.2010.11.003
2011,10.1016/j.socnet.2011.03.001
2012,10.1016/j.socnet.2007.11.001
2013,10.1016/j.socnet.2007.11.002
2014,10.1016/j.socnet.2009.02.002
2015,10.1016/j.socnet.2013.04.009
2016,10.1016/j.socnet.2013.05.001
2017,10.1016/j.socnet.2014.07.004
2018,10.1016/j.socnet.2015.04.004
2019,10.1016/j.socnet.2015.04.008
2020,10.1016/j.socnet.2013.05.003
2021,10.1016/j.socnet.2016.10.004
2022,10.1016/j.socnet.2016.08.001
2023,10.1016/j.socnet.2015.06.003
2024,10.1016/j.socnet.2015.07.003
2025,10.1016/j.socnet.2016.11.005
2026,10.1016/j.socnet.2017.06.003
2027,10.1016/j.socnet.2017.05.008
2028,10.1016/j.socnet.2017.10.002
2029,10.1016/j.socnet.2018.01.008
2030,10.1016/j.socnet.2018.08.008
2031,10.1016/j.socnet.2018.03.004
2032,10.1109/fskd.2011.6019714
2033,10.1016/j.socnet.2019.02.001
2034,10.1016/j.socnet.2019.07.001
2035,10.1093/gigascience/giy014
2036,10.1007/978-3-642-33506-8_78
2037,10.1101/165894
2038,10.1109/fskd.2012.6234213
2039,10.1109/tsmcb.2007.908842
2040,10.1007/978-4-431-54807-2_8
2041,10.1109/fskd.2013.6816322
2042,10.1109/jstsp.2014.2310294
2043,10.1109/jstsp.2014.2365765
2044,10.1109/fskd.2015.7382034
2045,10.1007/978-3-642-33636-2_6
2046,10.1109/fskd.2016.7603258
2047,10.1109/fskd.2016.7603284
2048,10.1007/978-3-642-33684-3_1
2049,10.1007/978-3-642-33684-3_2
2050,10.1109/jsyst.2014.2342931
2051,10.1109/fuzz-ieee.2013.6622299
2052,10.1109/jsyst.2015.2433294
2053,10.1007/978-3-642-33932-5_84
2054,10.1109/jsyst.2016.2594290
2055,10.1109/kam.2009.195
2056,10.1109/kam.2010.5646274
2057,10.1109/la-cci.2016.7885711
2058,10.1109/fuzzy.2009.5277270
2059,10.1109/la-web.2009.21
2060,10.1007/978-3-642-34413-8_6
2061,10.1137/18m1231304
2062,10.1109/tsp.2012.2212886
2063,10.1137/19m1243890
2064,10.1080/1369183x.2020.1736993
