user_doi,doi
5001,10.1371/journal.pone.0113438
5002,10.1080/10549811.2018.1546598
5003,10.1080/10556788.2016.1193176
5004,10.4028/www.scientific.net/amr.588-589.364
5005,10.1371/journal.pone.0116046
5006,10.1371/journal.pone.0116551
5007,10.4028/www.scientific.net/amr.655-657.801
5008,10.1016/j.jmb.2009.03.020
5009,10.4028/www.scientific.net/amr.712-715.2970
5010,10.1371/journal.pone.0118635
5011,10.1371/journal.pone.0119171
5012,10.1007/978-3-319-24318-4_17
5013,10.1007/978-3-319-24318-4_18
5014,10.1007/978-3-319-24318-4_20
5015,10.1103/physrevlett.107.018102
5016,10.1103/physrevlett.107.065701
5017,10.1007/978-3-319-24462-4_10
5018,10.1007/978-3-319-24465-5_16
5019,10.1103/physrevlett.108.228701
5020,10.1007/978-3-319-24966-7_11
5021,10.1016/j.asoc.2015.10.023
5022,10.1016/j.asoc.2017.07.034
5023,10.1103/physrevlett.110.148701
5024,10.1103/physrevlett.110.198701
5025,10.1007/s00285-018-1247-5
5026,10.1016/j.jnca.2011.06.001
5027,10.1016/j.jnca.2013.08.008
5028,10.1016/j.jnca.2018.02.011
5029,10.1016/j.artint.2016.06.001
5030,10.1016/j.asoc.2013.01.018
5031,10.1080/10615806.2018.1439263
5032,10.1371/journal.pone.0122141
5033,10.1016/j.asoc.2016.11.025
5034,10.1016/j.asoc.2017.08.050
5035,10.1016/j.jneumeth.2014.08.011
5036,10.1103/physrevlett.112.148701
5037,10.1016/j.jneumeth.2016.11.003
5038,10.1016/j.asoc.2020.106096
5039,10.1016/j.asoc.2020.106118
5040,10.1371/journal.pone.0122777
5041,10.1016/j.asoc.2020.106764
5042,10.1016/j.asoc.2014.09.035
5043,10.1371/journal.pone.0123079
5044,10.1371/journal.pone.0123082
5045,10.1080/10618600.2018.1530117
5046,10.1016/j.asoc.2016.12.019
5047,10.1016/j.asoc.2017.11.014
5048,10.1016/j.jmsy.2016.12.001
5049,10.1016/j.artmed.2007.07.006
5050,10.1016/j.jmva.2019.104540
5051,10.1016/j.jnca.2016.11.030
5052,10.1016/j.jnca.2018.07.015
5053,10.1016/j.jnca.2020.102768
5054,10.1016/j.artint.2016.07.003
5055,10.1016/j.asoc.2015.05.034
5056,10.1016/j.asoc.2016.01.036
5057,10.1016/j.asoc.2016.05.028
5058,10.1016/j.asoc.2019.105574
5059,10.1016/j.asoc.2019.106010
5060,10.1016/j.asoc.2013.06.022
