user_id,citing
3501,10.5089/9781475536706.001
3502,10.1007/978-3-319-63940-6_12
3503,10.1007/978-3-319-64000-6_2
3504,10.1111/jbi.13848
3505,10.1007/978-3-319-64167-6_1
3506,10.1063/5.0018359
3507,10.1080/09692290.2021.1904269
3508,10.1145/3372923.3404788
3509,10.1101/2020.01.21.914549
3510,10.1007/978-3-319-64471-4_21
3511,10.1101/2020.01.23.916460
3512,10.3389/feart.2020.585087
3513,10.1101/2020.01.26.919753
3514,10.1101/2020.01.26.920637
3515,10.1101/2020.01.27.921270
3516,10.1016/j.dss.2021.113537
3517,10.1101/2020.01.28.923136
3518,10.1101/2020.01.29.925974
3519,10.1101/2020.02.02.931139
3520,10.1101/2020.02.04.934174
3521,10.1007/s12275-017-6561-x
3522,10.1101/2020.02.06.935783
3523,10.1088/1742-5468/2009/07/p07042
3524,10.1007/978-3-658-34585-3_2
3525,10.1101/2020.02.07.939108
3526,10.1088/1742-5468/2010/04/p04024
3527,10.1088/1742-5468/2010/06/p06003
3528,10.1088/1742-5468/2010/08/p08012
3529,10.1088/1742-5468/2010/12/p12030
3530,10.1088/1742-5468/2010/12/p12037
3531,10.1007/978-3-319-65139-2_5
3532,10.1007/s11027-019-09856-7
3533,10.1088/1742-5468/2012/09/p09008
3534,10.1088/1742-5468/2012/10/p10015
3535,10.1101/2020.02.13.947655
3536,10.1101/2020.02.14.943118
3537,10.1088/1742-5468/2013/09/p09013
3538,10.1016/j.compbiomed.2021.104557
3539,10.1088/1742-5468/2014/03/p03013
3540,10.1088/1742-5468/2014/07/p07008
3541,10.1088/1742-5468/2014/10/p10039
3542,10.1088/1742-5468/2014/11/p11035
3543,10.1007/978-3-319-65551-2_50
3544,10.1088/1742-5468/2015/05/p05017
3545,10.1088/1742-5468/2015/10/p10004
3546,10.1088/1742-5468/2015/11/p11006
3547,10.1088/1742-5468/2016/03/033405
3548,10.1088/1742-5468/2016/09/093403
3549,10.1088/1742-5468/2016/11/113302
3550,10.1088/1742-5468/2016/12/123402
3551,10.1088/1742-5468/aa6581
3552,10.1088/1742-5468/aa6b2c
