user_id,citing
7001,10.1093/braincomms/fcac058
7002,10.1109/wifs.2018.8630772
7003,10.1371/journal.pone.0263869
7004,10.1016/j.procs.2022.01.386
7005,10.1145/2593702.2593715
7006,10.1101/2022.09.14.507854
7007,10.1109/access.2019.2897783
7008,10.1007/s10707-022-00464-3
7009,10.1016/j.joca.2022.08.019
7010,10.1016/j.scs.2022.104179
7011,10.1109/ssci.2018.8628653
7012,10.1007/s41109-022-00509-4
7013,10.1080/19331681.2022.2056278
7014,10.1109/tcbb.2019.2897769
7015,10.1109/wcsn.2014.90
7016,10.1109/access.2019.2898693
7017,10.1109/wd.2014.7020819
7018,10.7498/aps.61.148902
7019,10.1109/wetsom.2015.10
7020,10.1109/wetsom.2015.11
7021,10.1109/wf-iot.2014.6803202
7022,10.1016/j.medj.2022.05.002
7023,10.1109/wi-iat.2009.346
7024,10.1109/wi-iat.2010.48
7025,10.1109/wi-iat.2011.50
7026,10.1109/wi-iat.2011.97
7027,10.1109/wi-iat.2012.270
7028,10.1109/wi-iat.2012.9
7029,10.1109/wi-iat.2012.97
7030,10.1109/wi-iat.2014.10
7031,10.1109/wi-iat.2014.129
7032,10.1038/s41598-022-12871-5
7033,10.1101/2022.09.14.507949
7034,10.1017/nws.2022.27
7035,10.1099/mgen.0.000862
7036,10.2174/2666255813999200831104857
7037,10.2174/2666255813999200904133759
7038,10.1177/08862605211067062
7039,10.1038/s41598-022-07685-4
7040,10.1109/wincom.2016.7777228
7041,10.1016/j.celrep.2022.110379
7042,10.1109/wisa.2015.63
7043,10.1109/wisa.2016.39
7044,10.1128/spectrum.01454-22
7045,10.1128/spectrum.01481-22
7046,10.1145/3488560.3498398
7047,10.1016/j.physa.2022.128219
7048,10.1073/pnas.2206070119
7049,10.3390/jmse10050602
7050,10.3390/app12041982
7051,10.1101/2022.02.14.480402
7052,10.1103/physreve.106.034319
7053,10.1109/wsom.2017.8020004
7054,10.1073/pnas.1201890109
7055,10.1145/2330601.2330621
7056,10.1145/2330601.2330618
7057,10.1109/icetsis55481.2022.9888875
7058,10.1049/blc2.12014
7059,10.3389/fpubh.2022.998737
7060,10.1101/2022.02.11.479456
