user_id,citing
1501,10.1109/enic.2015.12
1502,10.1109/enic.2015.18
1503,10.1109/enic.2015.23
1504,10.1109/enic.2016.010
1505,10.1109/enic.2016.017
1506,10.1007/978-3-642-30045-5_5
1507,10.1007/978-3-030-86230-5_39
1508,10.2105/ajph.2019.305564
1509,10.1080/09537325.2021.1972965
1510,10.1007/s41870-021-00790-z
1511,10.1007/978-3-030-00232-9_60
1512,10.1101/048462
1513,10.1007/978-3-642-30287-9_10
1514,10.1007/978-3-642-30287-9_11
1515,10.1007/978-3-642-30287-9_21
1516,10.1007/978-3-642-30287-9_25
1517,10.1007/978-3-642-30287-9_9
1518,10.1038/s41467-021-25410-z
1519,10.1101/051656
1520,10.1007/s00114-013-1090-x
1521,10.1101/054569
1522,10.1016/j.semnephrol.2017.09.006
1523,10.11141/ia.39.1
1524,10.1101/057687
1525,10.1101/057828
1526,10.1101/058776
1527,10.1007/978-3-030-00560-3_31
1528,10.1007/978-3-030-00617-4_17
1529,10.1093/gbe/evu168
1530,10.1109/jsac.2013.130602
1531,10.1371/journal.pone.0225751
1532,10.1007/978-3-030-00671-6_23
1533,10.1101/068221
1534,10.1007/978-3-030-00755-3_13
1535,10.1109/jsac.2017.2679598
1536,10.1007/978-3-642-30850-5_25
1537,10.1007/978-3-030-00825-3_1
1538,10.1007/978-3-030-00828-4_20
1539,10.2139/ssrn.1470768
1540,10.1016/j.seps.2016.10.001
1541,10.1101/082438
1542,10.1007/978-3-030-01027-0_4
1543,10.1101/083535
1544,10.1007/978-3-642-31205-2_7
1545,10.1109/jsen.2013.2265936
1546,10.1101/086587
1547,10.1007/978-3-030-01129-1_16
1548,10.1007/978-3-030-01132-1_19
1549,10.1007/978-3-030-01159-8_6
1550,10.1101/093591
1551,10.1007/978-3-642-31464-3_29
1552,10.1101/097345
1553,10.1016/j.simpat.2020.102140
1554,10.1007/978-3-030-01418-6_3
1555,10.1007/978-3-642-31612-8_31
1556,10.1007/978-3-030-01449-0_13
1557,10.1098/rstb.2020.0256
1558,10.35414/akufemubid.870835
1559,10.1101/105197
1560,10.1093/gerona/glw219
1561,10.1101/106633
1562,10.1101/108035
1563,10.1016/j.molmet.2021.101330
1564,10.1101/110015
1565,10.1101/112540
1566,10.1007/978-3-642-31821-4_1
1567,10.1007/978-3-642-31821-4_2
1568,10.1007/978-3-642-31821-4_3
1569,10.1007/978-3-642-31821-4_4
1570,10.1101/113068
1571,10.1101/113795
1572,10.1109/eurocon.2015.7313799
1573,10.1016/j.smim.2020.101420
1574,10.1007/978-3-642-32063-7_47
1575,10.1101/120378
1576,10.1109/eusipco.2016.7760580
1577,10.1101/121202
1578,10.1109/trustcom.2015.471
1579,10.1101/122432
1580,10.1039/c9nr10687a
1581,10.1007/s00122-015-2582-1
1582,10.1101/127365
